quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,geometry,index_right,id,fid
1322320220233333,61143,31503,5,20,8,"POLYGON ((101.420288085938 3.16794031440275, 101.42578125 3.16794031440275, 101.42578125 3.16245553023785, 101.420288085938 3.16245553023785, 101.420288085938 3.16794031440275))",0,br730dc4071.1,0
1322320220300113,186802,101365,5,14,3,"POLYGON ((101.464233398438 3.33247010139614, 101.4697265625 3.33247010139614, 101.4697265625 3.32698621081349, 101.464233398438 3.32698621081349, 101.464233398438 3.33247010139614))",0,br730dc4071.1,0
1322320220300131,52985,19119,5,6,3,"POLYGON ((101.464233398438 3.32698621081349, 101.4697265625 3.32698621081349, 101.4697265625 3.3215022897186, 101.464233398438 3.3215022897186, 101.464233398438 3.32698621081349))",0,br730dc4071.1,0
1322320220300133,76714,53733,6,4,1,"POLYGON ((101.464233398438 3.3215022897186, 101.4697265625 3.3215022897186, 101.4697265625 3.31601833816152, 101.464233398438 3.31601833816152, 101.464233398438 3.3215022897186))",0,br730dc4071.1,0
1322320220300211,27424,27588,7,1,1,"POLYGON ((101.442260742188 3.31601833816152, 101.44775390625 3.31601833816152, 101.44775390625 3.31053435619233, 101.442260742188 3.31053435619233, 101.442260742188 3.31601833816152))",0,br730dc4071.1,0
1322320220300212,72121,24790,6,30,9,"POLYGON ((101.436767578125 3.31053435619233, 101.442260742188 3.31053435619233, 101.442260742188 3.3050503438611, 101.436767578125 3.3050503438611, 101.436767578125 3.31053435619233))",0,br730dc4071.1,0
1322320220300213,103329,52432,8,60,10,"POLYGON ((101.442260742188 3.31053435619233, 101.44775390625 3.31053435619233, 101.44775390625 3.3050503438611, 101.442260742188 3.3050503438611, 101.442260742188 3.31053435619233))",0,br730dc4071.1,0
1322320220300231,92718,36986,5,8,6,"POLYGON ((101.442260742188 3.3050503438611, 101.44775390625 3.3050503438611, 101.44775390625 3.2995663012179, 101.442260742188 3.2995663012179, 101.442260742188 3.3050503438611))",0,br730dc4071.1,0
1322320220300301,184422,79117,6,59,9,"POLYGON ((101.453247070312 3.31601833816152, 101.458740234375 3.31601833816152, 101.458740234375 3.31053435619233, 101.453247070312 3.31053435619233, 101.453247070312 3.31601833816152))",0,br730dc4071.1,0
1322320220300302,82523,35554,6,144,41,"POLYGON ((101.44775390625 3.31053435619233, 101.453247070312 3.31053435619233, 101.453247070312 3.3050503438611, 101.44775390625 3.3050503438611, 101.44775390625 3.31053435619233))",0,br730dc4071.1,0
1322320220300303,27828,10478,4,1,1,"POLYGON ((101.453247070312 3.31053435619233, 101.458740234375 3.31053435619233, 101.458740234375 3.3050503438611, 101.453247070312 3.3050503438611, 101.453247070312 3.31053435619233))",0,br730dc4071.1,0
1322320220300311,71109,38627,5,11,3,"POLYGON ((101.464233398438 3.31601833816152, 101.4697265625 3.31601833816152, 101.4697265625 3.31053435619233, 101.464233398438 3.31053435619233, 101.464233398438 3.31601833816152))",0,br730dc4071.1,0
1322320220300320,58542,31707,8,67,10,"POLYGON ((101.44775390625 3.3050503438611, 101.453247070312 3.3050503438611, 101.453247070312 3.2995663012179, 101.44775390625 3.2995663012179, 101.44775390625 3.3050503438611))",0,br730dc4071.1,0
1322320220301020,95231,55681,6,1,1,"POLYGON ((101.4697265625 3.32698621081349, 101.475219726562 3.32698621081349, 101.475219726562 3.3215022897186, 101.4697265625 3.3215022897186, 101.4697265625 3.32698621081349))",0,br730dc4071.1,0
1322320220301021,139639,38285,6,10,5,"POLYGON ((101.475219726562 3.32698621081349, 101.480712890625 3.32698621081349, 101.480712890625 3.3215022897186, 101.475219726562 3.3215022897186, 101.475219726562 3.32698621081349))",0,br730dc4071.1,0
1322320220301022,155980,62500,5,1,1,"POLYGON ((101.4697265625 3.3215022897186, 101.475219726562 3.3215022897186, 101.475219726562 3.31601833816152, 101.4697265625 3.31601833816152, 101.4697265625 3.3215022897186))",0,br730dc4071.1,0
1322320220301023,15235,5349,4,1,1,"POLYGON ((101.475219726562 3.3215022897186, 101.480712890625 3.3215022897186, 101.480712890625 3.31601833816152, 101.475219726562 3.31601833816152, 101.475219726562 3.3215022897186))",0,br730dc4071.1,0
1322320220301111,118567,26587,4,5,2,"POLYGON ((101.508178710938 3.33795396141648, 101.513671875 3.33795396141648, 101.513671875 3.33247010139614, 101.508178710938 3.33247010139614, 101.508178710938 3.33795396141648))",0,br730dc4071.1,0
1322320220301123,144426,191211,6,1,1,"POLYGON ((101.497192382812 3.3215022897186, 101.502685546875 3.3215022897186, 101.502685546875 3.31601833816152, 101.497192382812 3.31601833816152, 101.497192382812 3.3215022897186))",0,br730dc4071.1,0
1322320220301130,159255,48075,4,6,3,"POLYGON ((101.502685546875 3.32698621081349, 101.508178710938 3.32698621081349, 101.508178710938 3.3215022897186, 101.502685546875 3.3215022897186, 101.502685546875 3.32698621081349))",0,br730dc4071.1,0
1322320220301132,135819,44743,7,253,68,"POLYGON ((101.502685546875 3.3215022897186, 101.508178710938 3.3215022897186, 101.508178710938 3.31601833816152, 101.502685546875 3.31601833816152, 101.502685546875 3.3215022897186))",0,br730dc4071.1,0
1322320220301133,163993,85568,9,11,6,"POLYGON ((101.508178710938 3.3215022897186, 101.513671875 3.3215022897186, 101.513671875 3.31601833816152, 101.508178710938 3.31601833816152, 101.508178710938 3.3215022897186))",0,br730dc4071.1,0
1322320220301200,182696,72110,5,15,5,"POLYGON ((101.4697265625 3.31601833816152, 101.475219726562 3.31601833816152, 101.475219726562 3.31053435619233, 101.4697265625 3.31053435619233, 101.4697265625 3.31601833816152))",0,br730dc4071.1,0
1322320220301202,111768,52999,5,141,13,"POLYGON ((101.4697265625 3.31053435619233, 101.475219726562 3.31053435619233, 101.475219726562 3.3050503438611, 101.4697265625 3.3050503438611, 101.4697265625 3.31053435619233))",0,br730dc4071.1,0
1322320220301211,80580,45617,6,12,1,"POLYGON ((101.486206054688 3.31601833816152, 101.49169921875 3.31601833816152, 101.49169921875 3.31053435619233, 101.486206054688 3.31053435619233, 101.486206054688 3.31601833816152))",0,br730dc4071.1,0
1322320220301233,45478,46818,5,6,6,"POLYGON ((101.486206054688 3.2995663012179, 101.49169921875 3.2995663012179, 101.49169921875 3.29408222831281, 101.486206054688 3.29408222831281, 101.486206054688 3.2995663012179))",0,br730dc4071.1,0
1322320220301312,98686,41560,6,32,14,"POLYGON ((101.502685546875 3.31053435619233, 101.508178710938 3.31053435619233, 101.508178710938 3.3050503438611, 101.502685546875 3.3050503438611, 101.502685546875 3.31053435619233))",0,br730dc4071.1,0
1322320220301313,111791,53777,5,14,7,"POLYGON ((101.508178710938 3.31053435619233, 101.513671875 3.31053435619233, 101.513671875 3.3050503438611, 101.508178710938 3.3050503438611, 101.508178710938 3.31053435619233))",0,br730dc4071.1,0
1322320220301322,59777,57796,3,2,1,"POLYGON ((101.49169921875 3.2995663012179, 101.497192382812 3.2995663012179, 101.497192382812 3.29408222831281, 101.49169921875 3.29408222831281, 101.49169921875 3.2995663012179))",0,br730dc4071.1,0
1322320220301330,134953,52660,6,274,46,"POLYGON ((101.502685546875 3.3050503438611, 101.508178710938 3.3050503438611, 101.508178710938 3.2995663012179, 101.502685546875 3.2995663012179, 101.502685546875 3.3050503438611))",0,br730dc4071.1,0
1322320220301331,164997,52491,5,36,18,"POLYGON ((101.508178710938 3.3050503438611, 101.513671875 3.3050503438611, 101.513671875 3.2995663012179, 101.508178710938 3.2995663012179, 101.508178710938 3.3050503438611))",0,br730dc4071.1,0
1322320220302111,103193,49010,5,177,39,"POLYGON ((101.464233398438 3.29408222831281, 101.4697265625 3.29408222831281, 101.4697265625 3.28859812519589, 101.464233398438 3.28859812519589, 101.464233398438 3.29408222831281))",0,br730dc4071.1,0
1322320220303000,147821,92004,4,65,25,"POLYGON ((101.4697265625 3.29408222831281, 101.475219726562 3.29408222831281, 101.475219726562 3.28859812519589, 101.4697265625 3.28859812519589, 101.4697265625 3.29408222831281))",0,br730dc4071.1,0
1322320220303001,122591,39673,5,6,3,"POLYGON ((101.475219726562 3.29408222831281, 101.480712890625 3.29408222831281, 101.480712890625 3.28859812519589, 101.475219726562 3.28859812519589, 101.475219726562 3.29408222831281))",0,br730dc4071.1,0
1322320220303002,114248,77447,6,346,49,"POLYGON ((101.4697265625 3.28859812519589, 101.475219726562 3.28859812519589, 101.475219726562 3.28311399191724, 101.4697265625 3.28311399191724, 101.4697265625 3.28859812519589))",0,br730dc4071.1,0
1322320220303003,89923,35952,6,116,22,"POLYGON ((101.475219726562 3.28859812519589, 101.480712890625 3.28859812519589, 101.480712890625 3.28311399191724, 101.475219726562 3.28311399191724, 101.475219726562 3.28859812519589))",0,br730dc4071.1,0
1322320220303010,38148,17008,14,4,2,"POLYGON ((101.480712890625 3.29408222831281, 101.486206054688 3.29408222831281, 101.486206054688 3.28859812519589, 101.480712890625 3.28859812519589, 101.480712890625 3.29408222831281))",0,br730dc4071.1,0
1322320220303012,40497,17983,11,32,3,"POLYGON ((101.480712890625 3.28859812519589, 101.486206054688 3.28859812519589, 101.486206054688 3.28311399191724, 101.480712890625 3.28311399191724, 101.480712890625 3.28859812519589))",0,br730dc4071.1,0
1322320220303013,23281,16358,9,2,2,"POLYGON ((101.486206054688 3.28859812519589, 101.49169921875 3.28859812519589, 101.49169921875 3.28311399191724, 101.486206054688 3.28311399191724, 101.486206054688 3.28859812519589))",0,br730dc4071.1,0
1322320220303020,139665,62587,5,144,54,"POLYGON ((101.4697265625 3.28311399191724, 101.475219726562 3.28311399191724, 101.475219726562 3.27762982852692, 101.4697265625 3.27762982852692, 101.4697265625 3.28311399191724))",0,br730dc4071.1,0
1322320220303021,145430,56036,35,104,36,"POLYGON ((101.475219726562 3.28311399191724, 101.480712890625 3.28311399191724, 101.480712890625 3.27762982852692, 101.475219726562 3.27762982852692, 101.475219726562 3.28311399191724))",0,br730dc4071.1,0
1322320220303022,101552,44921,6,77,15,"POLYGON ((101.4697265625 3.27762982852692, 101.475219726562 3.27762982852692, 101.475219726562 3.27214563507502, 101.4697265625 3.27214563507502, 101.4697265625 3.27762982852692))",0,br730dc4071.1,0
1322320220303023,91708,35604,5,60,24,"POLYGON ((101.475219726562 3.27762982852692, 101.480712890625 3.27762982852692, 101.480712890625 3.27214563507502, 101.475219726562 3.27214563507502, 101.475219726562 3.27762982852692))",0,br730dc4071.1,0
1322320220303030,163529,80297,5,90,26,"POLYGON ((101.480712890625 3.28311399191724, 101.486206054688 3.28311399191724, 101.486206054688 3.27762982852692, 101.480712890625 3.27762982852692, 101.480712890625 3.28311399191724))",0,br730dc4071.1,0
1322320220303031,132843,49309,6,84,25,"POLYGON ((101.486206054688 3.28311399191724, 101.49169921875 3.28311399191724, 101.49169921875 3.27762982852692, 101.486206054688 3.27762982852692, 101.486206054688 3.28311399191724))",0,br730dc4071.1,0
1322320220303032,73103,27973,6,32,13,"POLYGON ((101.480712890625 3.27762982852692, 101.486206054688 3.27762982852692, 101.486206054688 3.27214563507502, 101.480712890625 3.27214563507502, 101.480712890625 3.27762982852692))",0,br730dc4071.1,0
1322320220303033,106910,43269,5,75,29,"POLYGON ((101.486206054688 3.27762982852692, 101.49169921875 3.27762982852692, 101.49169921875 3.27214563507502, 101.486206054688 3.27214563507502, 101.486206054688 3.27762982852692))",0,br730dc4071.1,0
1322320220303101,102803,46290,6,71,20,"POLYGON ((101.497192382812 3.29408222831281, 101.502685546875 3.29408222831281, 101.502685546875 3.28859812519589, 101.497192382812 3.28859812519589, 101.497192382812 3.29408222831281))",0,br730dc4071.1,0
1322320220303110,171125,82344,4,11,4,"POLYGON ((101.502685546875 3.29408222831281, 101.508178710938 3.29408222831281, 101.508178710938 3.28859812519589, 101.502685546875 3.28859812519589, 101.502685546875 3.29408222831281))",0,br730dc4071.1,0
1322320220303112,146953,52268,6,50,18,"POLYGON ((101.502685546875 3.28859812519589, 101.508178710938 3.28859812519589, 101.508178710938 3.28311399191724, 101.502685546875 3.28311399191724, 101.502685546875 3.28859812519589))",0,br730dc4071.1,0
1322320220303113,101455,50495,8,110,37,"POLYGON ((101.508178710938 3.28859812519589, 101.513671875 3.28859812519589, 101.513671875 3.28311399191724, 101.508178710938 3.28311399191724, 101.508178710938 3.28859812519589))",0,br730dc4071.1,0
1322320220303120,60435,31961,6,26,8,"POLYGON ((101.49169921875 3.28311399191724, 101.497192382812 3.28311399191724, 101.497192382812 3.27762982852692, 101.49169921875 3.27762982852692, 101.49169921875 3.28311399191724))",0,br730dc4071.1,0
1322320220303121,152169,56332,5,37,21,"POLYGON ((101.497192382812 3.28311399191724, 101.502685546875 3.28311399191724, 101.502685546875 3.27762982852692, 101.497192382812 3.27762982852692, 101.497192382812 3.28311399191724))",0,br730dc4071.1,0
1322320220303122,113711,41213,5,73,25,"POLYGON ((101.49169921875 3.27762982852692, 101.497192382812 3.27762982852692, 101.497192382812 3.27214563507502, 101.49169921875 3.27214563507502, 101.49169921875 3.27762982852692))",0,br730dc4071.1,0
1322320220303123,126740,42283,6,62,26,"POLYGON ((101.497192382812 3.27762982852692, 101.502685546875 3.27762982852692, 101.502685546875 3.27214563507502, 101.497192382812 3.27214563507502, 101.497192382812 3.27762982852692))",0,br730dc4071.1,0
1322320220303130,143101,58125,8,73,15,"POLYGON ((101.502685546875 3.28311399191724, 101.508178710938 3.28311399191724, 101.508178710938 3.27762982852692, 101.502685546875 3.27762982852692, 101.502685546875 3.28311399191724))",0,br730dc4071.1,0
1322320220303131,60202,37142,9,34,15,"POLYGON ((101.508178710938 3.28311399191724, 101.513671875 3.28311399191724, 101.513671875 3.27762982852692, 101.508178710938 3.27762982852692, 101.508178710938 3.28311399191724))",0,br730dc4071.1,0
1322320220303132,98308,44956,7,26,7,"POLYGON ((101.502685546875 3.27762982852692, 101.508178710938 3.27762982852692, 101.508178710938 3.27214563507502, 101.502685546875 3.27214563507502, 101.502685546875 3.27762982852692))",0,br730dc4071.1,0
1322320220303133,294480,84371,13,4,3,"POLYGON ((101.508178710938 3.27762982852692, 101.513671875 3.27762982852692, 101.513671875 3.27214563507502, 101.508178710938 3.27214563507502, 101.508178710938 3.27762982852692))",0,br730dc4071.1,0
1322320220310000,193158,63841,5,124,30,"POLYGON ((101.513671875 3.33795396141648, 101.519165039062 3.33795396141648, 101.519165039062 3.33247010139614, 101.513671875 3.33247010139614, 101.513671875 3.33795396141648))",0,br730dc4071.1,0
1322320220310001,137007,69216,5,61,17,"POLYGON ((101.519165039062 3.33795396141648, 101.524658203125 3.33795396141648, 101.524658203125 3.33247010139614, 101.519165039062 3.33247010139614, 101.519165039062 3.33795396141648))",0,br730dc4071.1,0
1322320220310002,137242,50986,5,74,21,"POLYGON ((101.513671875 3.33247010139614, 101.519165039062 3.33247010139614, 101.519165039062 3.32698621081349, 101.513671875 3.32698621081349, 101.513671875 3.33247010139614))",0,br730dc4071.1,0
1322320220310003,131436,66984,5,115,29,"POLYGON ((101.519165039062 3.33247010139614, 101.524658203125 3.33247010139614, 101.524658203125 3.32698621081349, 101.519165039062 3.32698621081349, 101.519165039062 3.33247010139614))",0,br730dc4071.1,0
1322320220310010,152695,53709,6,195,66,"POLYGON ((101.524658203125 3.33795396141648, 101.530151367188 3.33795396141648, 101.530151367188 3.33247010139614, 101.524658203125 3.33247010139614, 101.524658203125 3.33795396141648))",0,br730dc4071.1,0
1322320220310011,172844,70239,6,58,21,"POLYGON ((101.530151367188 3.33795396141648, 101.53564453125 3.33795396141648, 101.53564453125 3.33247010139614, 101.530151367188 3.33247010139614, 101.530151367188 3.33795396141648))",0,br730dc4071.1,0
1322320220310012,160146,68490,5,79,35,"POLYGON ((101.524658203125 3.33247010139614, 101.530151367188 3.33247010139614, 101.530151367188 3.32698621081349, 101.524658203125 3.32698621081349, 101.524658203125 3.33247010139614))",0,br730dc4071.1,0
1322320220310013,149496,60361,6,139,47,"POLYGON ((101.530151367188 3.33247010139614, 101.53564453125 3.33247010139614, 101.53564453125 3.32698621081349, 101.530151367188 3.32698621081349, 101.530151367188 3.33247010139614))",0,br730dc4071.1,0
1322320220310021,158533,48109,5,54,11,"POLYGON ((101.519165039062 3.32698621081349, 101.524658203125 3.32698621081349, 101.524658203125 3.3215022897186, 101.519165039062 3.3215022897186, 101.519165039062 3.32698621081349))",0,br730dc4071.1,0
1322320220310023,99358,40105,24,26,5,"POLYGON ((101.519165039062 3.3215022897186, 101.524658203125 3.3215022897186, 101.524658203125 3.31601833816152, 101.519165039062 3.31601833816152, 101.519165039062 3.3215022897186))",0,br730dc4071.1,0
1322320220310030,123336,56126,6,120,37,"POLYGON ((101.524658203125 3.32698621081349, 101.530151367188 3.32698621081349, 101.530151367188 3.3215022897186, 101.524658203125 3.3215022897186, 101.524658203125 3.32698621081349))",0,br730dc4071.1,0
1322320220310031,156028,74938,6,186,39,"POLYGON ((101.530151367188 3.32698621081349, 101.53564453125 3.32698621081349, 101.53564453125 3.3215022897186, 101.530151367188 3.3215022897186, 101.530151367188 3.32698621081349))",0,br730dc4071.1,0
